[0] Word: 00 | Confidence: 15.67
[1] Word: 2 | Confidence: 41.34
[2] Word: 2 | Confidence: 41.94
[3] Word: क | Confidence: 25.03
[4] Word: नन | Confidence: 20.26
[5] Word: विल | Confidence: 2.18
[6] Word: पमन | Confidence: 27.29
[7] Word: पय | Confidence: 14.10
[8] Word: जववकक | Confidence: 0.00
[9] Word: छेह | Confidence: 30.42
[10] Word: पय | Confidence: 30.02
[11] Word: 1 | Confidence: 35.29
[12] Word: 1 | Confidence: 2.68
[13] Word: । | Confidence: 69.11
[14] Word: (३) | Confidence: 88.24
[15] Word: खीमान/खीमती | Confidence: 22.47
[16] Word: पेन्सन: | Confidence: 41.68
[17] Word: आश्ित | Confidence: 14.90
[18] Word: शीमान | Confidence: 23.64
[19] Word: चा | Confidence: 80.17
[20] Word: खीमती | Confidence: 87.92
[21] Word: भएमा | Confidence: 63.83
[22] Word: योगदान | Confidence: 16.14
[23] Word: गरेको | Confidence: 93.27
[24] Word: मातिक | Confidence: 82.05
[25] Word: आपत | Confidence: 59.34
[26] Word: योगदान | Confidence: 94.40
[27] Word: रकमको | Confidence: 94.95
[28] Word: ४० | Confidence: 90.40
[29] Word: प्रतिशतले | Confidence: 93.34
[30] Word: हुने | Confidence: 96.65
[31] Word: रकम | Confidence: 91.79
[32] Word: मासिक | Confidence: 96.18
[33] Word: रुपमा | Confidence: 54.19
[34] Word: पैन्सन | Confidence: 92.15
[35] Word: सुबिधा | Confidence: 95.98
[36] Word: प्राप्त | Confidence: 80.74
[37] Word: हुने | Confidence: 93.43
[38] Word: । | Confidence: 23.56
[39] Word: यदि | Confidence: 23.56
[40] Word: योगदानकर्ता | Confidence: 56.01
[41] Word: अचिबाहित | Confidence: 78.07
[42] Word: भएमा | Confidence: 78.94
[43] Word: वस्तो | Confidence: 47.42
[44] Word: सुविधा | Confidence: 89.74
[45] Word: योगदानकर्ताको | Confidence: 46.12
[46] Word: आशित | Confidence: 59.15
[47] Word: बाबु | Confidence: 9.00
[48] Word: । | Confidence: 71.44
[49] Word: आमालाई | Confidence: 91.26
[50] Word: प्राम | Confidence: 89.21
[51] Word: हुने, | Confidence: 96.48
[52] Word: ं | Confidence: 78.73
[53] Word: (४) | Confidence: 81.54
[54] Word: सन्तती | Confidence: 75.09
[55] Word: वत्ति: | Confidence: 80.08
[56] Word: २१ | Confidence: 96.13
[57] Word: वर्ष | Confidence: 96.74
[58] Word: सम्मको | Confidence: 96.17
[59] Word: छोरा | Confidence: 96.67
[60] Word: छोरीको | Confidence: 92.35
[61] Word: लागि | Confidence: 93.27
[62] Word: मात्तिक | Confidence: 68.86
[63] Word: औफ्त | Confidence: 70.87
[64] Word: योगदात | Confidence: 84.73
[65] Word: रकमको | Confidence: 95.29
[66] Word: हण | Confidence: 42.25
[67] Word: प्रतिशतले | Confidence: 93.21
[68] Word: हुने | Confidence: 94.16
[69] Word: रकम | Confidence: 89.40
[70] Word: मासिक | Confidence: 96.26
[71] Word: रुपमा | Confidence: 93.14
[72] Word: सन्ततीत्रत्ति | Confidence: 62.72
[73] Word: सविधा, | Confidence: 82.21
[74] Word: ं | Confidence: 76.39
[75] Word: शर्त: | Confidence: 64.97
[76] Word: घटना | Confidence: 93.21
[77] Word: घटनु | Confidence: 92.17
[78] Word: भन्दा | Confidence: 96.51
[79] Word: अघिको | Confidence: 95.59
[80] Word: १२ | Confidence: 95.96
[81] Word: महिनामा | Confidence: 95.65
[82] Word: ९ | Confidence: 96.11
[83] Word: महिनाको | Confidence: 93.21
[84] Word: यागदान | Confidence: 62.87
[85] Word: भएको | Confidence: 96.23
[86] Word: हनु | Confidence: 90.51
[87] Word: पर्ने | Confidence: 93.74
[88] Word: तर | Confidence: 93.18
[89] Word: काजकिरिया | Confidence: 94.41
[90] Word: खर्चको | Confidence: 96.08
[91] Word: लागि | Confidence: 96.44
[92] Word: ६ | Confidence: 96.90
[93] Word: महिनामा | Confidence: 94.78
[94] Word: १ | Confidence: 92.26
[95] Word: महिताक्को | Confidence: 66.78
[96] Word: योगवातत | Confidence: 35.45
[97] Word: भए | Confidence: 96.29
[98] Word: मात्र | Confidence: 95.54
[99] Word: पुग्ने | Confidence: 47.48
[100] Word: | | Confidence: 63.06
[101] Word: । | Confidence: 80.22
[102] Word: घ, | Confidence: 67.55
[103] Word: बुद्धअवस्था | Confidence: 25.83
[104] Word: सुरक्षा | Confidence: 95.97
[105] Word: योजनाः | Confidence: 95.05
[106] Word: [योगदान | Confidence: 90.78
[107] Word: रकम | Confidence: 85.96
[108] Word: मध्ये | Confidence: 87.11
[109] Word: २६ | Confidence: 95.48
[110] Word: प्रतिशत | Confidence: 89.83
[111] Word: रक्रम | Confidence: 89.54
[112] Word: यस | Confidence: 96.09
[113] Word: योजनामा | Confidence: 92.79
[114] Word: जाँडफौँड | Confidence: 57.86
[115] Word: | | Confidence: 62.03
[116] Word: भएर | Confidence: 91.01
[117] Word: जानै) | Confidence: 80.26
[118] Word: | | Confidence: 82.51
[119] Word: । | Confidence: 42.88
[120] Word: (१) | Confidence: 95.53
[121] Word: अवकाश | Confidence: 79.94
[122] Word: सुविधाः | Confidence: 90.75
[123] Word: २६ | Confidence: 95.29
[124] Word: प्रतिशत | Confidence: 94.14
[125] Word: योगदान | Confidence: 79.83
[126] Word: रकम | Confidence: 86.28
[127] Word: मध्ये | Confidence: 83.93
[128] Word: १४ | Confidence: 89.93
[129] Word: प्रतिशत | Confidence: 80.98
[130] Word: रकम | Confidence: 95.41
[131] Word: र | Confidence: 96.01
[132] Word: यसले | Confidence: 96.32
[133] Word: आर्जन | Confidence: 95.03
[134] Word: र | Confidence: 24.97
[135] Word: गरेको | Confidence: 91.77
[136] Word: व्याज | Confidence: 86.56
[137] Word: तथा | Confidence: 88.76
[138] Word: प्रतिशत | Confidence: 94.52
[139] Word: सहितको | Confidence: 39.03
[140] Word: रकम, | Confidence: 94.38
[141] Word: बर्षमा | Confidence: 87.80
[142] Word: एक | Confidence: 96.63
[143] Word: पटक | Confidence: 85.21
[144] Word: निबेदन | Confidence: 74.02
[145] Word: दिई | Confidence: 90.11
[146] Word: निकाल्त | Confidence: 82.14
[147] Word: ॥ | Confidence: 70.47
[148] Word: पाउने | Confidence: 95.98
[149] Word: बा | Confidence: 86.14
[150] Word: मासिक | Confidence: 95.88
[151] Word: रुपमा | Confidence: 96.25
[152] Word: गर्नु | Confidence: 95.74
[153] Word: पर्ने | Confidence: 88.40
[154] Word: योगदान | Confidence: 96.34
[155] Word: रकममा | Confidence: 95.98
[156] Word: समायोजन | Confidence: 21.07
[157] Word: गर्न | Confidence: 94.67
[158] Word: सकिने | Confidence: 75.85
[159] Word: । | Confidence: 76.61
[160] Word: शार्तः | Confidence: 58.29
[161] Word: कार्यरत | Confidence: 93.63
[162] Word: संस्था, | Confidence: 91.42
